"id","subject_code","subject_name","department_id","year_level"
"579","IPT101","Integrative Programming And Technologies 1","12","2"
"580","ITE1","IT ELECTIVE 1 (Web Fundamentals)","12","2"
"581","SOSLIT","Sosyedad at Literatura","12","2"
"582","PE3","Individual and Dual Sports","12","2"
"583","NET101","Networking 1","12","2"
"584","PE4","Team Sports","12","2"
"585","ITE2","IT ELECTIVE 2 (Advance Javaor OOP)","12","2"
"586","WEB101","Web Development (Advance Web / Platform)","12","2"
"587","NET102","Networking 2","12","2"
"588","CC105","Information Management","12","2"
"589","SIA101","System Integration and Architecture 1","12","2"
"590","DM102","Financial Management","12","2"
"591","GE9","The Life and Works of Jose Rizal","12","2"
"592","ITE3","IT ELECTIVE 3 (Research)","12","3"
"593","ITSP1C","Business Continuity","12","3"
"594","CC106","Application Development and Emerging Technologies","12","3"
"595","IAS101","Information Assurance and Security 1","12","3"
"596","IM101","Fundamentals of Database System","12","3"
"597","PM101","Project Management","12","3"
"598","SA101","System Administration And Maintenance","12","3"
"599","BPM101","Business Process Management in IT","12","3"
"600","TEC101","Technopreneurship","12","3"
"601","IAS102","Information Assurance and Security 2","12","3"
"602","SP101","Social and Professional Issues","12","3"
"603","ITSP2C","Web Security","12","3"
"604","ITSP3C","Data Privacy and Security","12","4"
"605","PRAC3301","OJT - Practicum 1","12","4"
"606","CAP101","Capstone Project 1","12","4"
"607","ITE4","IT ELECTIVE 4 (System Integration and Architecture 2)","12","4"
